player_id,player,team,partidos,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves,g_per90,a_per90,ga_per90,sh_per90,kp_per90,bcc_per90,crosses_per90,int_per90,clr_per90,rec_per90,saves_per90,fouls_per90,fouled_per90,pass_acc_pct,long_ball_pct,cross_acc_pct,dribble_win_pct,tackle_acc_pct,duel_win_pct,aerial_win_pct,conv_rate,sot_rate
925337,Javier Altamirano,Universidad de Chile,11,753,2,0,13,6,10,0,1,542,381,297,27,12,16,2,25,10,4,6,9,18,4,46,40,68,1,18,8,0,0,0.24,0.0,0.24,1.55,1.2,0.0,1.91,0.48,0.72,5.5,0.0,2.15,0.96,78.0,44.4,12.5,40.0,50.0,37.0,5.6,15.4,46.2
790010,Leonardo Valencia,Deportes Concepción,11,757,1,1,13,5,15,1,0,439,285,221,43,20,56,13,9,2,1,3,4,5,0,32,22,32,0,5,15,3,0,0.12,0.12,0.24,1.55,1.78,0.12,6.66,0.12,0.36,3.8,0.0,0.59,1.78,77.5,46.5,23.2,22.2,80.0,40.7,0.0,7.7,38.5
249373,Claudio Sepúlveda,Huachipato,10,766,1,1,5,3,6,1,0,582,488,404,66,37,7,3,4,2,9,16,9,12,9,51,28,31,3,9,5,0,0,0.12,0.12,0.23,0.59,0.7,0.12,0.82,1.06,1.88,5.99,0.0,1.06,0.59,82.8,56.1,42.9,50.0,75.0,47.5,22.5,20.0,60.0
986532,Federico Mateos,Audax Italiano,10,773,1,1,10,5,10,2,0,513,369,273,70,42,13,4,19,16,4,10,16,25,7,41,57,39,1,14,9,1,0,0.12,0.12,0.23,1.16,1.16,0.23,1.51,0.47,1.16,4.77,0.0,1.63,1.05,74.0,60.0,30.8,84.2,64.0,59.4,15.2,10.0,50.0
159931,Cecilio Waterman,Universidad de Concepción,9,792,1,1,27,15,5,1,3,281,171,134,8,5,3,3,10,3,0,9,1,1,25,14,36,65,1,6,7,6,0,0.11,0.11,0.23,3.07,0.57,0.11,0.34,0.0,1.02,1.59,0.0,0.68,0.8,78.4,62.5,100.0,30.0,100.0,35.6,27.8,3.7,55.6
1601711,Leandro Hernández,Colo-Colo,10,386,0,1,9,2,10,1,0,223,127,110,6,4,7,1,30,15,0,0,4,5,2,20,27,38,0,7,5,1,0,0.0,0.23,0.23,2.1,2.33,0.23,1.63,0.0,0.0,4.66,0.0,1.63,1.17,86.6,66.7,14.3,50.0,80.0,41.5,5.0,0.0,22.2
39244,Lucas Pratto,Coquimbo Unido,11,412,1,0,10,5,3,0,0,193,116,69,4,2,1,0,5,1,2,6,4,5,22,15,31,44,1,5,3,0,0,0.22,0.0,0.22,2.18,0.66,0.0,0.22,0.44,1.31,3.28,0.0,1.09,0.66,59.5,50.0,0.0,20.0,80.0,41.3,33.3,10.0,50.0
1063335,Felipe Chamorro,Deportes La Serena,11,852,2,0,17,12,10,0,3,400,227,170,5,3,7,4,24,17,5,12,6,10,26,27,65,86,3,25,13,4,0,0.21,0.0,0.21,1.8,1.06,0.0,0.74,0.53,1.27,2.85,0.0,2.64,1.37,74.9,60.0,57.1,70.8,60.0,43.0,23.2,11.8,70.6
1797934,Ian Garguez,Palestino,11,867,1,1,4,2,10,2,0,527,284,217,40,19,24,8,11,7,6,35,15,21,11,42,48,27,4,6,9,0,0,0.1,0.1,0.21,0.42,1.04,0.21,2.49,0.62,3.63,4.36,0.0,0.62,0.93,76.4,47.5,33.3,63.6,71.4,64.0,28.9,25.0,50.0
912067,Michael Vadulli,Audax Italiano,7,425,1,0,10,3,4,0,2,259,157,115,13,5,13,1,11,6,2,4,8,10,7,21,34,23,1,2,11,3,0,0.21,0.0,0.21,2.12,0.85,0.0,2.75,0.42,0.85,4.45,0.0,0.42,2.33,73.2,38.5,7.7,54.5,80.0,59.6,23.3,10.0,30.0
1177211,Felipe Ogaz,O'Higgins,10,877,1,1,4,3,6,1,0,652,507,437,40,22,2,0,8,2,19,18,25,32,7,63,53,37,0,10,12,0,0,0.1,0.1,0.21,0.41,0.62,0.1,0.21,1.95,1.85,6.47,0.0,1.03,1.23,86.2,55.0,0.0,25.0,78.1,58.9,15.9,25.0,75.0
975291,Leandro Díaz,O'Higgins,7,424,0,1,1,0,2,1,0,336,195,151,31,16,12,3,9,5,7,25,7,9,6,15,25,21,3,3,5,0,0,0.0,0.21,0.21,0.21,0.42,0.21,2.55,1.49,5.31,3.18,0.0,0.64,1.06,77.4,51.6,25.0,55.6,77.8,54.3,22.2,0.0,0.0
1017320,Jason León,Palestino,9,438,0,1,7,3,9,1,0,357,228,184,35,22,31,6,13,9,5,5,4,8,3,27,25,19,0,5,5,0,0,0.0,0.21,0.21,1.44,1.85,0.21,6.37,1.03,1.03,5.55,0.0,1.03,1.03,80.7,62.9,19.4,69.2,50.0,56.8,13.6,0.0,42.9
