player_id,player,team,position,pos_label,partidos
1385794,Maximiliano Gutiérrez,Huachipato,M,Mediocampo,3
940483,Maximiliano Rodríguez,Huachipato,F,Delantera,11
1117091,Nelson Guillermo Guaiquil,Huachipato,D,Defensa,4
247055,Nicolás Vargas,Huachipato,D,Defensa,10
2545503,Pablo Bohle,Huachipato,F,Delantera,1
36995,Rafael Caroca,Huachipato,D,Defensa,11
1096236,Renzo Malanca,Huachipato,D,Defensa,8
920957,Rodrigo Odriozola,Huachipato,G,Arquero,5
1381958,Santiago Silva,Huachipato,M,Mediocampo,11
2038211,Sebastián Melgarejo,Huachipato,M,Mediocampo,4
1657110,Sebastián Mella,Huachipato,G,Arquero,6
892450,Alan Robledo,O'Higgins,D,Defensa,5
849177,Arnaldo Castillo,O'Higgins,F,Delantera,11
942415,Bastián Yáñez,O'Higgins,F,Delantera,11
1485083,Benjamin Schamine,O'Higgins,M,Mediocampo,8
985004,Benjamín Rojas,O'Higgins,D,Defensa,10
126376,Bryan Rabello,O'Higgins,M,Mediocampo,8
1482396,Cristian Morales,O'Higgins,D,Defensa,5
1409341,Esteban Calderón,O'Higgins,F,Delantera,3
1482408,Felipe Faúndez,O'Higgins,D,Defensa,10
1177211,Felipe Ogaz,O'Higgins,M,Mediocampo,11
983528,Francisco González,O'Higgins,M,Mediocampo,11
1798259,Gabriel Pinto,O'Higgins,M,Mediocampo,10
1798260,Joaquín Tapia,O'Higgins,F,Delantera,8
975502,Jorge Peña,O'Higgins,G,Arquero,11
2038201,José Movillo,O'Higgins,D,Defensa,4
844183,Juan Leiva,O'Higgins,M,Mediocampo,10
975291,Leandro Díaz,O'Higgins,D,Defensa,11
339699,Luis Pavez Munoz,O'Higgins,D,Defensa,8
1411686,Martín Maturana,O'Higgins,M,Mediocampo,6
789677,Martín Sarrafiore,O'Higgins,M,Mediocampo,11
990283,Miguel Brizuela,O'Higgins,D,Defensa,9
1002945,Nicolás Garrido,O'Higgins,D,Defensa,10
831242,Omar Carabalí,O'Higgins,G,Arquero,11
2038202,Rodrigo Godoy,O'Higgins,F,Delantera,7
923802,Thiago Vecino,O'Higgins,F,Delantera,11
2456021,Albert Gomez,Palestino,F,Delantera,4
1116992,Antonio Ceza,Palestino,D,Defensa,10
230054,Bryan Carrasco,Palestino,F,Delantera,11
931341,César Munder,Palestino,M,Mediocampo,7
1386875,Dilan Salgado,Palestino,F,Delantera,8
339711,Dilan Zúñiga,Palestino,D,Defensa,10
105971,Enzo Roco,Palestino,D,Defensa,5
33943,Fernando Meza,Palestino,D,Defensa,8
1797930,Francisco Montes,Palestino,M,Mediocampo,11
1125923,Gonzalo Tapia,Palestino,F,Delantera,11
1985127,Ian Alegría,Palestino,F,Delantera,5
1797934,Ian Garguez,Palestino,D,Defensa,11
1017320,Jason León,Palestino,D,Defensa,11
868786,Joe Abrigo,Palestino,M,Mediocampo,1
819017,Jonathan Benítez,Palestino,F,Delantera,8
805305,José Bizama,Palestino,D,Defensa,10
334027,Julián Fernández,Palestino,M,Mediocampo,10
1464930,Martín Araya,Palestino,M,Mediocampo,7
883928,Nelson Da Silva,Palestino,F,Delantera,10
1064150,Nicolás Meza,Palestino,M,Mediocampo,11
805150,Ronnie Fernández,Palestino,F,Delantera,7
116096,Sebastián Gallegos,Palestino,M,Mediocampo,11
842274,Sebastián Pérez,Palestino,G,Arquero,11
1197497,Sebastián Salas,Palestino,G,Arquero,11
1464931,Vicente Espinoza,Palestino,D,Defensa,11
581774,Agustín Farías,Universidad Católica,M,Mediocampo,9
1016766,Alfred Canales,Universidad Católica,M,Mediocampo,7
818693,Bernardo Cerezo,Universidad Católica,D,Defensa,8
