match_id,date,team,player_in_id,player_in,player_out,minute,pm_at_entry,pm_after
15352976,2026-02-07,Colo-Colo,889502.0,Álvaro Madrid,Tomás Alarcón,61,0,2
15352976,2026-02-07,Colo-Colo,1482420.0,Francisco Marchant,Maximiliano Romero,70,0,2
15352976,2026-02-07,Colo-Colo,1601711.0,Leandro Hernández,Arturo Vidal,70,0,2
15352976,2026-02-07,Colo-Colo,1997136.0,Yastin Cuevas,Claudio Aquino,79,0,2
15352976,2026-02-07,Everton de Viña del Mar,1199239.0,Emiliano Ramos,Alan Medina,57,0,-2
15352976,2026-02-07,Everton de Viña del Mar,800239.0,Dieter Villalpando,Nicolás Baeza,57,0,-2
15352976,2026-02-07,Everton de Viña del Mar,1384618.0,Byron Navarro,Julián Alfaro,70,0,-2
15352976,2026-02-07,Everton de Viña del Mar,1020255.0,Braian Martínez,Cristian Palacios,74,0,-2
15352976,2026-02-07,Everton de Viña del Mar,2039913.0,Martín Guzmán,Vicente Vega,75,0,-2
15352977,2026-02-22,Deportes La Serena,1089454.0,Francis Mac Allister,Sebastián Díaz,55,0,0
15352977,2026-02-22,Deportes La Serena,874589.0,Matías Marín,Diego Rubio,71,0,0
15352977,2026-02-22,Deportes La Serena,582220.0,Nicolás Stefanelli,Felipe Chamorro,90,0,0
15352977,2026-02-22,Deportes La Serena,1155908.0,Matías Pinto,Joaquín Gutiérrez,90,0,0
15352977,2026-02-22,Universidad de Concepción,986462.0,Bryan Ogaz,Agustín Urzi,59,0,0
15352977,2026-02-22,Universidad de Concepción,2199269.0,Benjamín Sáez,Esteban Páez,65,0,0
15352977,2026-02-22,Universidad de Concepción,906108.0,Antonio Díaz,Harol Salgado,76,0,0
15352977,2026-02-22,Universidad de Concepción,2455393.0,Francisco Herrera,Jeison Fuentealba,76,0,0
15352978,2026-03-01,Ñublense,1197415.0,Alex Valdés,Matías Plaza,46,0,-1
15352978,2026-03-01,Ñublense,962130.0,Fernando Ovelar,Ignacio Jeraldino,59,0,-1
15352978,2026-03-01,Ñublense,333405.0,Felipe Campos,Gabriel Graciani,67,0,-1
15352978,2026-03-01,Ñublense,1503119.0,Giovanny Avalos,Franco Rami,87,0,-1
15352978,2026-03-01,Ñublense,949422.0,Carlos Salomón,Manuel Rivera,87,0,-1
15352978,2026-03-01,Universidad Católica,906110.0,Diego Valencia,Diego Corral,29,-1,2
15352978,2026-03-01,Universidad Católica,973560.0,Matías Palavecino,Jhojan Valencia,67,0,1
15352978,2026-03-01,Universidad Católica,1016766.0,Alfred Canales,Jimmy Martínez,78,0,1
15352978,2026-03-01,Universidad Católica,818693.0,Bernardo Cerezo,Tomás Asta-Buruaga,79,0,1
15352979,2026-03-01,Colo-Colo,1199243.0,Lautaro Pastrán,Maximiliano Romero,66,0,-1
15352979,2026-03-01,Colo-Colo,889502.0,Álvaro Madrid,Arturo Vidal,67,0,-1
15352979,2026-03-01,Colo-Colo,1601711.0,Leandro Hernández,Claudio Aquino,67,0,-1
