player_id,player,team,partidos,minutos,gf_on,ga_on,pm,pm_per90
965775,Agustín Urzi,Universidad de Concepción,10,575.0,4,9,-5,-0.78
1125880,Benjamín Chandía,Coquimbo Unido,10,536.0,5,10,-5,-0.84
1216169,Vicente Vega,Everton de Viña del Mar,4,294.0,0,5,-5,-1.53
1835778,Benjamín Ramírez,Cobresal,4,148.0,1,6,-5,-3.04
1014802,Rodrigo Sandoval,Cobresal,7,403.0,5,10,-5,-1.12
986462,Bryan Ogaz,Universidad de Concepción,8,326.0,2,7,-5,-1.38
1016643,Aaron Astudillo,Cobresal,9,691.0,10,15,-5,-0.65
1980392,Javier Rojas,Deportes Concepción,7,440.0,2,7,-5,-1.02
385990,Juan Fuentes,Cobresal,9,490.0,4,10,-6,-1.1
965719,Ariel Uribe,Universidad de Concepción,9,224.0,1,7,-6,-2.41
889519,Franco Bechtholdt,Cobresal,10,856.0,12,18,-6,-0.63
988763,Norman Rodríguez,Deportes Concepción,8,687.0,6,12,-6,-0.79
873620,Agustin Nadruz,Cobresal,8,712.0,11,17,-6,-0.76
365990,Leonel González,Universidad de Concepción,9,810.0,7,13,-6,-0.67
