player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
986513,Dylan Escobar,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,33.0,0,0,0
852143,Luis Riveros,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,33.0,0,0,0
2048673,Pablo Rodríguez,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,26.0,0,0,0
39244,Lucas Pratto,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,26.0,0,0,0
842274,Sebastián Pérez,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
1464931,Vicente Espinoza,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
805305,José Bizama,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
33943,Fernando Meza,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
334027,Julián Fernández,Palestino,Universidad de Chile,15352953,2026-02-13,Home,61.0,0,0,0
1797934,Ian Garguez,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
116096,Sebastián Gallegos,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
1017320,Jason León,Palestino,Universidad de Chile,15352953,2026-02-13,Home,74.0,0,0,0
339711,Dilan Zúñiga,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
1125923,Gonzalo Tapia,Palestino,Universidad de Chile,15352953,2026-02-13,Home,74.0,0,0,0
883928,Nelson Da Silva,Palestino,Universidad de Chile,15352953,2026-02-13,Home,90.0,0,0,0
1064150,Nicolás Meza,Palestino,Universidad de Chile,15352953,2026-02-13,Home,29.0,0,0,0
230054,Bryan Carrasco,Palestino,Universidad de Chile,15352953,2026-02-13,Home,16.0,0,0,0
819017,Jonathan Benítez,Palestino,Universidad de Chile,15352953,2026-02-13,Home,16.0,0,0,0
1116992,Antonio Ceza,Palestino,Universidad de Chile,15352953,2026-02-13,Home,0.0,0,0,0
1797930,Francisco Montes,Palestino,Universidad de Chile,15352953,2026-02-13,Home,0.0,0,0,0
805183,Gabriel Castellón,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
831012,Nicolás Ramírez,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
981341,Franco Calderón,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
789979,Matías Zaldivia,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
818897,Fabián Hormazábal,Universidad de Chile,Palestino,15352953,2026-02-13,Away,85.0,0,0,0
18304,Charles Aránguiz,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
589542,Israel Poblete,Universidad de Chile,Palestino,15352953,2026-02-13,Away,85.0,0,0,0
1482432,Diego Vargas,Universidad de Chile,Palestino,15352953,2026-02-13,Away,62.0,0,0,0
37006,Eduardo Vargas,Universidad de Chile,Palestino,15352953,2026-02-13,Away,70.0,0,0,0
359024,Juan Martín Lucero,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
1002939,Lucas Assadi,Universidad de Chile,Palestino,15352953,2026-02-13,Away,90.0,0,0,0
1482412,Ignacio Vásquez,Universidad de Chile,Palestino,15352953,2026-02-13,Away,28.0,0,0,0
790149,Octavio Rivero,Universidad de Chile,Palestino,15352953,2026-02-13,Away,20.0,0,0,0
906105,Maximiliano Guerrero,Universidad de Chile,Palestino,15352953,2026-02-13,Away,5.0,0,0,0
925337,Javier Altamirano,Universidad de Chile,Palestino,15352953,2026-02-13,Away,5.0,0,0,0
790001,Ignacio González,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
1216169,Vicente Vega,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,46.0,0,1,-1
976168,Hugo Magallanes,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
339891,Diego Oyarzún,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
862702,Nicolás Baeza,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,46.0,0,1,-1
886912,Benjamín Berríos,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
975053,Alan Medina,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
800239,Dieter Villalpando,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,56.0,0,1,-1
1020255,Braian Martínez,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,56.0,0,1,-1
1199239,Emiliano Ramos,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,90.0,0,1,-1
956838,Julián Alfaro,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,80.0,0,1,-1
1384618,Byron Navarro,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,44.0,0,0,0
951270,Joaquín Moya,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,44.0,0,0,0
129209,Cristian Palacios,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,34.0,0,0,0
2059827,Amaro Leon,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,34.0,0,0,0
988143,Cristopher Barrera,Everton de Viña del Mar,Unión La Calera,15352954,2026-02-02,Home,10.0,0,0,0
333465,Nicolás Avellaneda,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
889511,Christopher Díaz,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
1108449,Rodrigo Caseres,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
1125257,Nicolás Palma,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
1111544,Daniel Gutiérrez,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
787710,Kevin Méndez,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
965967,Juan Manuel Requena,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,90.0,1,0,1
1190022,Joaquín Soto,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,59.0,1,0,1
951277,Bayron Oyarzo,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,59.0,1,0,1
936901,Sebastián Sáez,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,85.0,1,0,1
1523685,Francisco Jose Pozzo,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,72.0,1,0,1
1403421,Axel Encinas,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,31.0,0,0,0
822444,Yerko Leiva,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,31.0,0,0,0
924528,Matías Campos López,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,18.0,0,0,0
822449,Camilo Moya,Unión La Calera,Everton de Viña del Mar,15352954,2026-02-02,Away,5.0,0,0,0
1016653,Vicente Bernedo,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
386220,Tomás Asta-Buruaga,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
819088,Branco Ampuero,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
896624,Juan Ignacio Díaz,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
117430,Eugenio Mena,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,46.0,0,0,0
22975,Gary Medel,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
324937,Cristián Cuevas,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
995388,Clemente Montes,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
973560,Matías Palavecino,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,82.0,2,0,2
932866,Justo Giani,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,82.0,2,0,2
828952,Fernando Zampedri,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,90.0,2,0,2
588796,Jimmy Martínez,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,44.0,2,0,2
1981780,Nicolás L'Huiller,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,8.0,0,0,0
819115,Jhojan Valencia,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,8.0,0,0,0
906110,Diego Valencia,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,0.0,0,0,0
581774,Agustín Farías,Universidad Católica,Deportes Concepción,15352955,2026-02-08,Home,0.0,0,0,0
158269,César Dutra,Deportes Concepción,Universidad Católica,15352955,2026-02-08,Away,90.0,0,2,-2
